Tref [Celcius]     tau_i [s]          g_i [-]            E0 [MPa]          
2.000000000000e+01,2.218581533483e-15,8.979444544474e-02,2.419750831824e+03
2.000000000000e+01,2.472814201832e-14,9.322100920233e-02,2.419750831824e+03
2.000000000000e+01,2.756180011640e-13,8.787102672361e-02,2.419750831824e+03
2.000000000000e+01,3.072017400634e-12,9.674118697478e-02,2.419750831824e+03
2.000000000000e+01,3.424047366263e-11,1.012562760203e-01,2.419750831824e+03
2.000000000000e+01,3.816417304143e-10,7.980636438605e-02,2.419750831824e+03
2.000000000000e+01,4.253749870073e-09,9.884646120663e-02,2.419750831824e+03
2.000000000000e+01,4.741197441250e-08,7.039147621021e-02,2.419750831824e+03
2.000000000000e+01,5.284502818340e-07,8.199937909425e-02,2.419750831824e+03
2.000000000000e+01,5.890066883542e-06,6.246440142254e-02,2.419750831824e+03
2.000000000000e+01,6.565024011758e-05,5.667699016435e-02,2.419750831824e+03
2.000000000000e+01,7.317326123305e-04,4.314603872926e-02,2.419750831824e+03
2.000000000000e+01,8.155836368444e-03,2.156649907060e-02,2.419750831824e+03
2.000000000000e+01,9.090433547438e-02,9.887978597779e-03,2.419750831824e+03
2.000000000000e+01,1.013212849636e+00,3.627353418883e-03,2.419750831824e+03
